Attributs,MIC,CHI2,Pearson
duration,True,True,True
orig_bytes,True,True,True
resp_bytes,True,True,True
missed_bytes,True,True,True
orig_pkts,True,True,True
orig_ip_bytes,True,True,True
resp_pkts,True,True,True
resp_ip_bytes,True,True,True
resumed,True,False,False
established,False,True,True
curve_not-applicable,True,True,True
curve_secp256r1,True,True,True
curve_secp384r1,True,True,True
curve_secp521r1,True,True,True
curve_x25519,True,True,True
conn_state_OTH,True,True,True
conn_state_RSTO,True,True,True
conn_state_RSTR,True,True,True
conn_state_RSTRH,True,True,True
conn_state_S1,True,True,True
conn_state_S3,True,True,True
conn_state_SF,False,True,True
conn_state_SHR,True,True,True
version_TLSv10,True,True,True
version_TLSv11,True,False,False
version_TLSv12,True,True,True
version_TLSv13,True,True,True
ke_DHE,True,True,True
ke_ECDHE,True,True,True
ke_RSA,True,True,True
ke_nan,True,True,True
aut_ECDSA,True,True,True
aut_RSA,True,True,True
aut_nan,True,True,True
bulk_de_3DES_EDE_CBC,True,True,True
bulk_de_AES_128_CBC,True,True,True
bulk_de_AES_128_GCM,True,True,True
bulk_de_AES_256_CBC,True,True,True
bulk_de_AES_256_GCM,True,True,True
bulk_de_CHACHA20_POLY1305,True,True,True
mac_SHA,True,True,True
mac_SHA256,True,True,True
mac_SHA384,True,True,True
