Attributs,MIC,CHI2,Pearson
duration,True,True,False
orig_bytes,False,True,False
resp_bytes,True,True,False
missed_bytes,False,True,False
orig_pkts,False,False,False
orig_ip_bytes,False,True,False
resp_pkts,True,True,False
resp_ip_bytes,True,True,True
resumed,False,False,False
established,False,False,False
curve_not-applicable,False,False,False
curve_secp256r1,False,False,True
curve_secp384r1,False,False,False
curve_secp521r1,False,False,False
curve_x25519,True,True,True
conn_state_OTH,False,False,False
conn_state_RSTO,False,False,True
conn_state_RSTR,False,False,False
conn_state_RSTRH,True,True,True
conn_state_S1,False,False,False
conn_state_S3,False,False,False
conn_state_SF,False,False,False
conn_state_SHR,True,True,True
version_TLSv10,False,False,False
version_TLSv11,False,False,False
version_TLSv12,True,False,True
version_TLSv13,True,True,True
ke_DHE,False,False,False
ke_ECDHE,True,False,True
ke_RSA,False,False,False
ke_nan,True,True,True
aut_ECDSA,False,False,False
aut_RSA,True,False,True
aut_nan,True,True,True
bulk_de_3DES_EDE_CBC,False,False,False
bulk_de_AES_128_CBC,False,False,False
bulk_de_AES_128_GCM,False,False,False
bulk_de_AES_256_CBC,False,False,False
bulk_de_AES_256_GCM,False,True,True
bulk_de_CHACHA20_POLY1305,False,False,False
mac_SHA,False,False,False
mac_SHA256,False,False,False
mac_SHA384,True,False,True
